asset_code,date,close,source_name,source_type,source_priority,url_or_path,evidence_level,as_of
008887,2024-04-30,0.7738,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
008887,2024-05-06,0.7808,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
008887,2024-05-07,0.7753,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
008887,2024-05-08,0.7647,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
008887,2024-05-09,0.7815,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
008887,2024-05-10,0.7663,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
008887,2024-05-13,0.7601,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
008887,2024-05-14,0.7606,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
008887,2024-05-15,0.7516,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
008887,2024-05-16,0.7523,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
008887,2024-05-17,0.7601,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
008887,2024-05-20,0.7615,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
008887,2024-05-21,0.757,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
008887,2024-05-22,0.7618,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
008887,2024-05-23,0.7503,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
008887,2024-05-24,0.7316,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
008887,2024-05-27,0.7522,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
008887,2024-05-28,0.7522,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
008887,2024-05-29,0.7486,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
008887,2024-05-30,0.7622,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
008887,2024-05-31,0.7589,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
008887,2024-06-03,0.7721,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
008887,2024-06-04,0.7726,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
008887,2024-06-05,0.7767,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
008887,2024-06-06,0.7732,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
008887,2024-06-07,0.7729,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
008887,2024-06-11,0.798,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=008887&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
