file_name,size_bytes,sha256,rows,repo_commit_policy
import_manifest.json,2305,cff18d6c522d7b2f0d69dfe6cca811042dcf5892a1da272274bb25b3960116c2,,do_not_commit_raw_pack
messages.jsonl,589481,be5f6bc38b26e26aba5680bc012ece42ec67870260a8e3d7ff850850efa556dd,500,do_not_commit_raw_pack
conversations.jsonl,3273,0459d96be876cec07ec533741ff07439f51f1334aaf8df05eae5d38ca23e8131,5,do_not_commit_raw_pack
contacts.jsonl,7103,46f2f5e179ad46e720536d4b38b1e064e6635e3708aac220f950b665cdd66dcc,23,do_not_commit_raw_pack
media_index.csv,109,d3b18ba88b4662470d6fad7bb658fad70a5ce7b4c0238e566852ba65c6958c5d,0,do_not_commit_raw_pack
validation_manifest.csv,739,37cc3e10ee76723580309d12cf72662bf8d63686661b9cd6053b8d6dfbd28cfe,10,repo_safe_summary_only
validation_checksums.sha256,1066,eb6caa747c9ba07590cbe0527b90730e0c70b5fd7af791f5ec018e1241ebdf7b,,repo_safe_summary_only

